Time (s)	PSI(P = 1.99 nW*um^-2)(a.u.)
0.0	0.10124724766838561
0.05	-0.0013582031620710886
0.1	-0.019775030096326453
0.15	0.07221396469704591
0.2	0.10027701791182994
0.25	-0.024551352313893382
0.3	-0.17038233022379462
0.35	0.0891327467623067
0.4	-0.11300978339895894
0.45	-0.03379427784450773
0.5	0.01988156268820439
0.55	0.1441307943509244
0.601	0.0599040836387861
0.65	0.06022715068860097
0.7	0.16210569071566028
0.75	0.004147633185344886
0.801	0.022318699951603495
0.85	-0.013936184354883512
0.9	-0.06248335837092856
0.95	0.05018322444936324
1.0	-0.03031709993181796
1.051	0.2177950788481801
1.1	-0.03923118720377304
1.15	-0.029302809585267278
1.2	0.13488287249438452
1.25	-0.02861692129766477
1.3	0.045736017471815354
1.351	-0.05633105500284362
1.4	-0.051548061995693346
1.45	0.11247767866316274
1.5	-0.12550181426560608
1.55	0.02818933904036045
1.601	0.10576656019161823
1.65	0.13302325687634467
1.7	0.06086511126332169
1.75	0.018216842546790436
1.8	0.06217929951480282
1.851	0.059535418591074744
1.9	0.13924199388095362
1.95	-0.0237686095169748
2.001	-0.10968892360909617
2.05	0.024077317814162606
2.1	0.02963313333865964
2.15	-0.015244703657075937
2.2	0.05542273974984541
2.25	0.04706429273029854
2.3	0.0848754284625073
2.35	0.009411292742404074
2.401	-0.022782198724765754
2.45	0.024521099361075004
2.501	0.12309345081023679
2.55	-0.10223647085149952
2.6	-0.09570028719125456
2.65	-0.000420103778888545
2.701	0.0036957422141338306
2.75	0.07780407588762207
2.8	0.07616463732832529
2.851	-0.04124160995062803
2.9	0.18547961680149574
2.95	0.13536745019007418
3.0	-0.04193543094136063
3.05	0.12647578441403287
3.101	0.04666463274533076
3.15	0.11702929590803611
3.2	0.16071658887374646
3.251	0.15690427647757424
3.3	-0.060468040165569094
3.35	-0.043305818789820455
3.4	0.14388035701858226
3.45	0.012351341227370144
3.5	0.007225722032237876
3.55	-0.09204250729379293
3.6	-0.08449497181955584
3.65	0.08424709579431192
3.7	-0.049820034673623434
3.75	0.03875345177326601
3.8	0.09086153570795444
3.851	-0.018590115635721494
3.9	-0.05669270798576191
3.95	0.2538891456389168
4.0	-0.1602799814867033
4.051	0.23189121972467855
4.1	0.012438928382402376
4.15	0.31478773843395297
4.2	0.604590919285718
4.25	0.8030669223117127
4.3	1.1809426557085538
4.35	1.0186192870357602
4.4	1.5002727291635478
4.451	1.425905860364533
4.5	1.6642752807719072
4.55	1.6672048921351246
4.6	1.8215911666345155
4.65	2.0596493806259306
4.7	2.1307513768616233
4.751	2.220919241824679
4.8	2.2833427233029555
4.85	2.4639319474839456
4.9	2.5104036564207584
4.95	2.744522314694838
5.0	2.6466225917163984
5.05	2.761458193221881
5.1	3.021483342469745
