Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
0.0	0.0087167178749161
0.041	0.0063119552932746
0.081	0.0051096915257952
0.121	-0.0147282482543292
0.161	-0.0039076393003268
0.201	0.0171325642472771
0.241	-0.0003006129512059
0.281	0.0015024301299951
0.321	0.0027049289441538
0.361	0.0195373268289185
0.401	-0.0165315263822096
0.441	0.0129247585844362
0.481	-0.002103656032407
0.521	-0.002103656032407
0.561	-0.001502876718687
0.601	-0.001502876718687
0.641	-0.0237448739404118
0.681	0.000300166362514
0.722	-0.0207393320450504
0.762	0.0129247585844362
0.802	0.0033066484445941
0.842	0.0111207753165164
0.882	0.0045089122120752
0.923	-0.0075139605094082
0.963	0.0195373268289185
1.003	0.0039071927116348
1.043	0.0345657414457618
1.083	0.0291554369687606
1.123	0.41809469962568
1.163	0.529305860967703
1.203	0.604448874238638
1.244	0.670574556683453
1.285	0.727682908302144
1.325	0.798016631456478
1.365	0.843101875307008
1.405	0.886985795576777
1.446	0.908025293984341
1.487	0.954313741789071
1.527	0.995191179976758
1.568	1.0
1.608	0.858130289923851
1.649	0.837691570830007
1.689	0.80643224278216
1.73	0.796814132642318
1.771	0.788398286269957
1.811	0.771565888385194
1.851	0.774572370467274
1.891	0.75894223634999
1.931	0.76014450011747
1.971	0.741509059151507
2.011	0.766757303408631
2.051	0.744514601046867
2.092	0.730087670883785
2.132	0.725879865220942
2.172	0.719267061929783
2.212	0.728283687615863
2.252	0.714457536766501
2.293	0.730688450197505
2.333	0.690411791323536
2.373	0.707244189208299
2.413	0.70664246970786
2.453	0.686203750614016
2.493	0.692215774591456
2.533	0.727081188801705
2.573	0.686203750614016
2.613	0.704839426626659
2.653	0.674782597392973
2.693	0.683198443765334
2.733	0.683198443765334
2.773	0.675984861160452
2.813	0.66456276775269
2.853	0.675383376706693
2.893	0.665765031520172
2.933	0.670574556683453
2.974	0.662158005171051
3.014	0.681395165637453
3.054	0.671776115310893
3.094	0.675984861160452
3.134	0.65734942019449
3.175	0.639916007949326
3.215	0.66275948962481
3.256	0.65734942019449
3.297	0.642921549844687
3.338	0.631500396623644
3.378	0.639916007949326
3.418	0.644724827972568
3.458	0.648933573822127
3.498	0.640516787263046
3.539	0.622482830750843
3.58	0.60805519544772
3.62	0.892996644320819
3.66	0.972948477614994
3.701	1.0192371604664
3.741	1.06672716689857
3.781	1.09257619046942
3.821	1.12624028109891
3.861	1.1761352851594
3.902	1.18815815788088
3.943	1.21761420780084
3.983	1.24586705376661
4.023	1.26931225494254
4.063	1.30598188746738
4.103	1.32702209101499
4.143	1.15208930466975
4.183	1.11301490956326
4.223	1.11181264579578
4.263	1.07694605635214
4.303	1.08476112341078
4.343	1.08235636082914
4.383	1.1027960201097
4.423	1.08716588599242
4.464	1.06432240431693
4.504	1.07153598692181
4.544	1.06552490313109
4.585	1.02344496612925
4.625	1.03847338074609
4.665	1.03847338074609
4.705	1.02164098286133
4.745	1.01442763530312
4.785	1.01442763530312
4.825	1.00420874584956
4.865	1.02765300683877
4.905	1.02765300683877
4.946	1.00480952516328
4.986	1.00480952516328
5.026	0.9975959425584
5.066	1.01863544096596
5.107	0.983769086568996
5.148	1.00180398326792
5.188	0.994589695522999
5.229	0.995191179976758
5.271	0.989781110546438
5.311	0.977758002778275
5.351	0.984971350336478
5.391	0.962729588161432
5.431	0.969342156405914
5.471	0.966937393824273
5.511	0.981966043487797
5.551	0.959122561812311
5.591	0.977157223464555
5.631	0.962729588161432
5.671	0.965134350743073
5.711	0.957319283684431
5.751	0.970544655220073
5.791	0.961527324393952
5.831	0.959122561812311
5.871	0.960324825579792
5.911	0.943493367881748
5.951	0.934475802008947
5.991	0.936880564590586
6.031	0.947701173544589
6.071	0.938083063404747
6.111	0.941689149567149
6.151	0.915840125996303
6.191	0.927863233764466
6.231	0.935076581322666
6.271	0.923053708601185
6.311	0.923655193054944
6.352	0.912834819147623
6.393	0.9032164739611
6.433	0.918845667891663
6.473	0.918245123624622
6.513	0.911632320333462
6.553	0.926059955636584
6.593	0.907424514670621
6.634	0.907424514670621
6.674	0.912834819147623
6.715	0.915239581729262
6.756	0.888788838657976
6.796	0.887586574890497
6.836	0.895401406902459
6.877	0.90261498950734
6.917	0.898406948797818
6.958	0.880973771599335
6.998	0.906822795170181
7.038	0.908025293984341
7.079	0.905621236542741
7.12	0.877367450390254
7.16	0.886384076076337
7.201	0.873760424041133
7.241	0.878569949204414
7.281	0.896603905716619
7.321	0.882777754867255
7.361	0.898406948797818
7.401	0.879170728518134
7.441	0.879170728518134
7.481	0.849714443551489
7.521	0.888188059344256
7.561	0.863540594400852
7.601	0.868950898877854
7.641	0.899609447611979
7.681	0.85512474802849
7.722	0.850316163051929
7.762	0.867147855796653
7.802	0.864743093215013
7.843	0.861136772005931
7.883	0.85632724684265
7.923	0.872557925226975
7.963	0.877367450390254
8.003	0.849714443551489
8.043	0.873760424041133
8.083	0.848512179784009
8.124	0.843703594807448
8.164	0.85392248426101
8.205	0.861136772005931
8.245	0.873760424041133
8.286	0.840698052912087
8.326	0.847309680969849
8.366	0.849113899284448
8.406	0.831680487039286
8.446	0.849113899284448
8.487	0.846709136702808
8.527	0.850316163051929
8.568	0.861136772005931
8.609	0.838293290330447
8.649	0.816652072422442
8.689	0.848512179784009
8.729	0.839495554097927
8.771	0.85271998544685
8.812	0.839495554097927
8.852	0.838293290330447
8.893	0.833483765167166
8.934	0.832882985853446
8.974	0.834085249620925
9.014	0.819056835004082
9.054	0.818455350550323
9.094	0.830478223271805
9.134	0.831680487039286
9.174	0.838293290330447
9.214	0.812444266759601
9.254	0.816050587968683
9.294	0.808837005363801
9.334	0.828073460690165
9.374	0.824467139481083
9.414	0.813045046073322
9.454	0.825067918794803
9.495	0.798016631456478
9.535	0.809437784677521
