Time (s)	PSI(P = 1.99 nW*um^-2)(a.u.) 000	PSI(P = 5.65 nW*um^-2)(a.u.) 001	PSI(P = 9.05 nW*um^-2)(a.u.) 002	PSI(P = 12.39 nW*um^-2)(a.u.) 003	PSI(P = 15.64 nW*um^-2)(a.u.) 004	PSI(P = 18.78 nW*um^-2)(a.u.) 005	PSI(P = 21.92 nW*um^-2)(a.u.) 006	PSI(P = 24.97 nW*um^-2)(a.u.) 007	PSI(P = 28.01 nW*um^-2)(a.u.) 008
0.0	-0.0007445095160672705	0.022963556742089396	-0.06207634721915126	-0.044754286536760016	-0.00959189394846581	0.00024462422869854527	0.03324914353519346	0.054889747701861974	0.1875876030741118
0.05	0.10631627972358831	-0.16663698510667563	-0.010786444197428224	-0.028633193138482962	-0.0890874485955691	0.10417157928614572	0.03324914353519346	0.07895165416907719	0.1875876030741118
0.1	0.06635290909815673	0.041827620259853836	-0.1842246472717068	0.022028457699948732	-0.06278287306386139	-0.025118341742372843	-0.09212813920727597	-0.010554030117503692	0.012712015487206718
0.15	-0.03912823431060729	-0.0024359381409265997	-0.02124358823844885	-0.11897624625007261	0.05636178304743691	0.05918366460753909	0.04851102538686389	-0.24610776945357335	0.07441854406487214
0.2	0.009989263462992245	0.057613944685716866	-0.07263573719897762	0.031108514162249815	0.07764100544731105	-0.08142038235362713	0.09954125023076374	0.09904462123237212	-0.05665711158797475
0.25	-0.01784616579454705	-0.0332132817208151	0.13834356883552565	0.08558593739601604	0.02254410261983543	-0.009794657459121172	-0.08314821422299108	0.047599848715864486	-0.09087519802558175
0.3	-0.06635606299670484	0.039598567274481196	0.06038556762602861	0.02036878725759032	-0.020588040537158837	0.05946520394627637	-0.08314821422299108	0.10618562189157396	-0.07856173822169066
0.35	-0.03198026791499302	-0.01539893951702578	0.04141215426920212	0.09543957557697814	0.04228087595125391	0.1096521935515779	-0.007326369089567633	0.01031379247482187	-0.02837743831324986
0.4	-0.0450935550640228	-0.0728405185719934	0.007181095966211106	-0.031083773083793075	-0.006894143008593092	-0.14050036213671957	0.05228032009676651	-0.19467358867234022	-0.17344252634674673
0.45	0.018490343312214347	0.12852197409523727	0.10364437742862781	-0.031083773083793075	-0.009883367912238181	-0.07588352192849561	-0.0010799460419453385	0.05435010205752635	-0.034391753204958055
0.5	0.03161351441301727	-0.09613127445979491	-0.11210580747605921	-0.06832285054434659	-0.21160025495666415	-0.02701507501365279	-0.03975891996671444	0.09329611340243114	0.12719540522322653
0.55	0.1396917419457899	-0.19981376192697567	0.03315214501882303	-0.04052431973768349	-0.11370596497454548	-0.040666476595728175	-0.017927622731889734	0.039090914565569984	-0.03116808556047076
0.6	-0.00434652784642165	-0.011036633089621042	0.05125848099936388	-0.04052431973768349	-0.02516122066347217	-0.11698529899625557	-0.042682925998498086	0.023386343811666682	-0.00368809225135297
0.65	-0.08421231414065157	0.06620232660149716	-0.07911017789363968	-0.030101345197433002	-0.012317498304748108	-0.0030598261701850057	0.029466167453785257	0.17334466491920889	-0.041474353257639894
0.7	0.02155357067640175	-0.09038552506118022	-0.05681034284850989	-0.019039947532845148	0.09552479358780785	-0.0198313529917103	-0.18145957953381	0.039269424427325506	-0.029964291161160877
0.75	0.055800965198419136	-0.057049631941160854	-0.1067128347001207	0.07511381279675684	-0.11809738168052158	0.04753974343932663	0.07706120603910936	0.1532415945145463	-0.03795331907121225
0.8	0.02920993201612164	0.02608394346764422	-5.471993400774327e-05	-0.060201521435005415	0.0844094437240436	-0.018070367470241353	0.04314216337574418	0.016889079965259447	-0.012582061739253496
0.85	0.046277209226860946	0.021606500771369806	0.013191624131358744	-0.0913991898223111	-0.00037181858911384695	-0.00428051013901171	0.10676663234454754	-0.0796371223603672	-0.25711891402438397
0.9	0.029508044821228274	-0.05415927145139533	0.0477574131212333	0.02460084235775663	0.01792359701088008	-0.02519686122614934	-0.16318414509031576	0.13637219537548434	-0.1048000174985471
0.95	0.07187354820141727	-0.041096427187418676	0.2971040159905771	-0.04522955878345284	0.03791590955286745	-0.207873921832973	0.08219677385806445	0.022104949005095468	-0.1251203728797154
1.0	0.011374894738261553	-0.1538402550007327	-0.1198046833523544	-0.06751663486497742	0.08886009931775324	0.057706209548824536	0.09982245915161142	0.057140121069707034	-0.10678693838423592
1.05	0.0019539765651476527	0.11580631182641558	-0.2619007253405138	0.048336989137871836	-0.04781001421511291	-0.18696998118670033	0.15652482958525626	0.2606681809220444	-0.14018367007279117
1.1	-0.06951401568717663	-0.010001730616034796	0.04783437643264006	0.09347267204689293	-0.22269898216259915	-0.02381759275678592	0.15652482958525626	-0.12864903251690143	-0.12071671738841841
1.15	-0.007752159137292139	-0.2315179756891657	-0.3597454990626995	-0.10204533338382507	-0.1113635032011272	-0.07576294330708963	0.15441661077807242	0.046308455215302614	-0.19939520365341493
1.2	-0.12553402510142422	-0.09118201256283674	-0.11331597296409607	-0.015452958661032166	-0.10928252309886935	-0.0759559791949549	0.15441661077807242	0.2263108741252319	0.03694577098057748
1.25	0.17779579930712844	-0.3354571618492193	-0.26133854765107983	-0.029293309170107265	0.07164022015256731	0.022621004632804812	-0.08448940118253187	-0.1477822355180819	-0.006856611645052347
1.3	-0.03336127616216252	0.11495023697190487	-0.03149916986186798	-0.03970121199541041	-0.025450026627651362	-0.0984460118444545	-0.02624154031113668	0.06623416203112172	-0.15212405527847686
1.35	-0.020673836751544463	0.0036441683075714637	-0.032780165856374825	-0.006981978466802205	-0.08887968956076595	-0.15738578662607794	-0.031621489976212364	-0.0008118154389506816	-0.09963089546447436
1.4	0.025050893858686633	-0.09006408029770606	-0.004622238462788928	-0.0859178567500073	0.046197444655021264	0.046808295363174664	-0.09147131580463543	-0.02686653884552732	0.12016441988934279
1.45	0.016735481096995644	-0.21264721670299697	-0.12304685422349254	-0.11703655655719361	-0.06361573465049868	-0.0812383432552885	-0.09147131580463543	0.06484725034707806	0.03451522289506733
1.5	0.12546650486959787	-0.01295524767731639	0.049971697435536575	-0.07905807933808552	-0.018312232100232577	-0.15860210820887277	0.1038273226553982	0.055059582980304035	0.007404608546957053
1.55	-0.037148355471270295	-0.040287657159886206	-0.05475354176672586	-0.1498593496036033	-0.22459777774992792	-0.22462100641783234	-0.01341749787257843	-0.07522532404096915	-0.16482993859969464
1.6	-0.02028622566208755	-0.021471382845166708	-0.07070669665159358	-0.1636396993314691	-0.23049180284244214	-0.00656325694281446	-0.01341749787257843	0.10479182345967608	-0.19694904471425265
1.65	0.09974018495984395	-0.12750401231153968	0.06573067527437255	0.024511179457139525	0.02215322806687631	-0.0008105699418123955	0.01858013821124577	-0.03419966076934671	-0.052711033694764146
1.7	0.09194999824793489	-0.05304517613744683	-0.05356689987997527	0.29782932858418737	0.031991144040081076	-0.21063418490872232	-0.0568180573370631	-0.01124747154058815	-0.08373560392182984
1.75	0.020422963205110743	0.014751671539368157	-0.17816013776742295	0.09627893923110813	-0.09284823148787322	0.07348696217548471	-0.17368768406808172	0.08302141667361063	0.07988062753720218
1.8	-0.020104009597998813	-0.10810473593400112	-0.19104718035547483	0.14410472650316117	-0.045360562941572695	-0.1218090276237149	0.13940241037410675	0.11601738497452178	-0.22946138726008358
1.85	0.09935030390858432	-0.05304517613744683	-0.06337973686041118	-0.061203729571261	0.02166054962314099	0.08516877463868834	-0.03027512259088401	0.23893102924707926	-0.032036283343776784
1.9	-0.1216613377663207	-0.06772826496525165	-0.02124358823844885	-0.061203729571261	0.04311046829056481	-0.05132152862314616	-0.10494703101441243	-0.010860125189918388	-0.1793917413459895
1.95	-0.05422113391814545	0.04959127527285823	0.008724445025280811	-0.06738693478439388	-0.15750809780091513	-0.08961610399911664	0.04071375097424185	0.020458452745350963	0.1318819018810572
2.0	0.17361716083882708	-0.08241721815563285	-0.22415635793730226	-0.009859715108209623	0.06058301867158421	0.09214081846940075	0.11719201832858897	0.042953901744869676	0.02211947071121689
2.05	0.10988922771697619	0.08476000405665043	-0.12508310249983653	-0.20630465949897486	0.15848818283834362	-0.1036565731250648	0.001709006944768316	0.12329442879335609	-0.03839154415580115
2.1	-0.12069493714530495	-0.013267596807317553	-0.12725469975482484	0.023894206002375684	0.1939076699054888	0.08399359815224823	0.005369243067373159	-0.03984866308385818	-0.02882189631445765
2.15	0.038888035409812616	0.008613466627548009	-0.22850847631494994	0.024511179457139525	0.14084265221094117	-0.16400303871083366	-0.06222052648818456	-0.015648979799414462	-0.0825319040370424
2.2	0.06530503925154288	0.016343567140051196	-0.03170663528433245	0.05131472235274719	-0.032201489873413494	-0.11491869802687958	-0.027813625435585687	0.15077198471115114	-0.18620068360800998
2.25	-0.10300852685270388	0.029658060187613716	-0.1969595790790849	0.15710347608337555	0.02195971426518418	0.10744106379463766	-0.027813625435585687	0.011783359435167244	-0.037619370168657094
2.3	-0.08379510596020753	-0.132905927803763	0.08486840353136327	0.06487868828058956	-0.058224980113093294	-0.1122412244862918	-0.03929031703796482	-0.2664223409178711	-0.05986850830673109
2.35	-0.10259079768163876	0.02385897344347285	0.05317471818834694	0.08069284012503641	0.11685912638245899	-0.027808498043203136	0.04767246784474049	0.12897874008636812	-0.21251680551070756
2.4	-0.057194946220734746	-0.1247057549705722	-0.0964042296128944	-0.015422284415352653	0.1652673772677142	-0.1050928858389199	0.03617516289037974	0.24917634370091063	-0.05158207558236714
2.45	-0.11308873360549512	-0.17120221870879293	-0.16803323576634388	0.0004098500094355374	-0.0360007361772434	-0.08834536072955528	0.20286552011571146	0.02009237967545778	-0.29817627329482815
2.5	-0.03061917078066044	-0.16783518458505664	-0.011859765522918597	-0.13734203486601831	-0.02493902284257615	-0.1360984224136574	0.08137769266070223	0.04449877399133313	0.09932251845348457
2.55	0.09895200649397552	0.12190531778572095	-0.2395106889142438	-0.04820991846990408	0.03632965441472641	-0.010628697384303543	0.08137769266070223	-0.10244300688885655	0.07513836733304208
2.6	0.10414239643629714	-0.20210038863433002	-0.13767994406912493	-0.0814602473148759	0.02376651162129121	-0.2752288693865918	-0.06446691127842372	0.025857422381799642	-0.17502692764599048
2.65	0.11101996353112861	-0.06517536265483598	-0.07145078914914366	-0.12879523741407556	-0.09167374135618712	-0.00656325694281446	-0.17619869041225145	0.07287469070257023	0.011316803967787602
2.7	-0.041731578812894334	-0.09645467038355021	-0.19198508084619437	-0.016879665338754745	0.0568880419225808	-0.05745389381763526	0.12146769811060677	0.025857422381799642	-0.1496543449135477
2.75	-0.03360688357763486	0.04627178254293089	-0.07059863342676594	0.0004098500094355374	-0.08067748302984	0.08359856946011719	-0.18358098994102587	0.10589293275090644	-0.08890005725253429
2.8	0.058923962390019236	-0.0024359381409265997	-0.11872436842444496	0.1730419801014178	-0.03364333016700739	-0.07155038838963555	-0.06919371082432833	0.040033482231093195	-0.05950316195040926
2.85	-0.0931956703503427	-0.02703734022786652	0.1834058737866341	-0.017877184403474543	-0.040417323717494985	0.1615264030192256	-0.06919371082432833	0.030690850983611455	-0.07262849172804699
2.9	-0.022717208930711438	0.005341995901339398	-0.06854327119470098	-0.09406414526715391	0.0027428707182134125	-0.06575379491932709	0.014536046290841606	0.18768226803908328	-0.06109617498446697
2.95	0.04187847915570211	0.02744256874231026	-0.1398536350595005	0.10760241304867996	0.03255674217001479	-0.09008909525225448	0.03651318833899752	-0.0011020355186376538	-0.05711420504063037
3.0	-0.23660835027505092	-0.0602349041919694	-0.07490843727261175	0.10760241304867996	-0.013767392922785891	-0.08238782740535723	-0.058173469475198844	0.10756234316519156	-0.1868701473912749
3.05	-0.13321810396689832	-0.09276360859547471	-0.010786444197428224	0.017897498177879636	0.04972357450727515	0.003574176315583706	-0.058173469475198844	0.2764823406671718	-0.08731012768870654
